ID,Titulo,Artista,Album,Genero,Año,Letra,Audio_Path
1,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Nueva Yol
Si te quieres divertir
Con encanto y con primor
Solo tienes que vivir (¿Pa' dónde?)
Un verano en Nueva York (Nueva York)
Si te quieres divertir
Con encanto y con primor (¿Pero qué es esto?)
Solo tienes que vivir (¿Y este frío?)
Un verano en Nueva York (un ratito na' má')
Ey, ey, ey, 4 de julio, 4th de July
Ando con mi primo, borracho, rulay
Los mío' en El Bronx saben la que hay
Con la nota en high por Washington Heights
Willie Colón, me dicen ""el malo"", ey
Porque pasan los año' y sigo dando palo'
Vendiendo disco' como cuadro' Frida Kahlo
El perico es blanco, sí, sí
El tusi rosita, eh, eh
No te confunda', no, no
Mejor evita, ey
Un shot de cañita en casa de Toñita
Y PR se siente cerquita
Sí, sí, sí
Tengo el campeonato, nadie me lo quita
¿Cómo Bad Bunny va a ser rey del pop, ey
Con reggaetón y dembow? Ey
Con reggaetón y dembow, sí
Con reggaetón y dembow
¿Cómo Bad Bunny va a ser rey del pop, ey
Con reggaetón y dembow?
Me siento como el Lápiz en ""Capea El Dough""
Cuando yo nací, fue que nació el flow
De lao' a lao', ping-pong
Un flow pesao', Big Pun
Con silenciador les robamo' las gata'
James Bond, ey
Yo estoy en la mía, no tengo adversario, no
Con Los Yankee' y Los Met', Juan Soto
A correr, que otra ve' la sacamo' 'el estadio (ey)
Si te quieres divertir (ey, ey, ey, ey, ey, eye, ey)
Con encanto y con primor (ey, ey, ey, ey, ey, eye, ey)
Solo tienes que vivir (ya mismo nos vamo')
Un verano en Nueva (un ratito má', un ratito)
Shh, cuidao', que nadie nos escuche
Shh, cuidao', que nadie nos escuche
Shh, cuidao', que nadie nos escuche
Shh, cuida-
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Shh",audio/01. Bad Bunny - NUEVAYoL.flac
2,LUZ DE LUNA,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Yo no sé, no me siento a salvo
¿Será que me faltas aquí?
Solamente nos veo en retratos
Decoran mi mente al dormir
Y regresas como ángel guiando
Absorbes el peso de mí
Y es por ti que yo encontré mi casa
Un cuarto seguro en ti
Poco lo que te digo y tanto me callo
Cuando estoy alejado voy apagando toda
Cuánta dificultad estar alineado
Mírame, yo no quiero estar enviciado
Aunque yo te pruebo y siento un level up
Noches en Miami, sentirme en lo alto
Darme una medalla, otro día, otro maratón
Llegar a la raya, brazos extendidos
Pecho al cielo, que ahora soy campeón
Ahora soy campeón, bañado en luces neón
Luz de luna, luz del sol, bendición de Dios
Bendición, bendición, bendición de Dios
Por amor voy vendiendo mi alma
Más bajas que altas aquí
Es contigo que nada me falta
Combino perfecto en ti
Dicta el tiempo lo que siento
Cada movimiento, entretenimiento
Un producto perfecto, uoh-oh
Consecuencia de tanto talento
Especial de nacimiento y aún no lo sabe, no lo sabe
Lucha en el fuego y no le arde
Camina en el cielo con la única meta de encontrarse
Con su ángel, que alguien lo ame
Que lo toque y sienta un level up
Noches en Miami, sentirse en lo alto
Darle una medalla, otro día, otro maratón
Llegar a la raya, brazos extendidos
Pecho al cielo, que va a ser campeón
Él va a ser campeón, bañado en luces neón
Luz de luna, luz del sol, bendición de Dios
Bendición, bendición, bendición de Dios, mmm
Luz de luna, luz del sol
Luz que viene, luz que soy
Luz de luna, luz del sol
Luz que viene, luz de Dios
Luz de luna, luz del sol
Luz que viene, luz que soy
Luz de luna, luz del sol
Luz que viene, luz de Dios
Luz de luna, luz del sol
Cúbreme en tu manto, llévame con Dios
Dame luz de luna, luz del sol
Rodéame en tu espíritu y toma el control
Dame un vistazo a otra dimensión
Dame nubes en mi propia habitación
Dame luz de luna, luz del sol
Muéstrame otra constelación
Guíame a la reencarnación
Vuélveme dueño de algo mejor
Dame luz de luna, luz del sol
Cúbreme en tu manto, llévame con Dios, dame
Dame luz de luna, dame luz de luna
Luz de luna
Luz del sol
Luz de luna
Luz del sol
Luz de luna",audio/01. HUMBE - LUZ DE LUNA.flac
3,BLOOD.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Is it wickedness?
Is it weakness?
You decide
Are we gonna live or die?
So I was takin' a walk the other day
And I seen a woman, a blind woman
Pacin' up and down the sidewalk
She seemed to be a bit frustrated
As if she had dropped somethin' and
Havin' a hard time findin' it
So after watchin' her struggle for a while
I decide to go over and lend a helping hand, you know?
""Hello, ma'am, can I be of any assistance?
It seems to me that you have lost something
I would like to help you find it""
She replied
""Oh yes, you have lost something, you've lost your life""
Is it wickedness?
Uh, Lamar stated his views
Uh, Lamar stated his views
Uh, Lamar stated his views
Uh, Lamar stated his views
Uh, Lamar stated his views on police brutality with that line in the song
Quote ""and we hate the popo, wanna kill us in the street fo' sho'""
Oh please, ugh, I don't like it",audio/01. Kendrick Lamar - BLOOD..flac
4,St. Chroma,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"you are the light
it's not on you, it's in you
don't you ever in your life
dim your light for nobody
chromakopia
chromakopia
chromakopia
chromakopia
chromakopia
chromakopia
chromakopia
chromakopia
chromako-
calm down sit still that's one mil for each wheel
top down big deal how the he do that?
what the i look like? get the up out him way
hawthorne is where him from another planet where him stay
15 cash for that new fort i had guap since 19
i popped out like chi ching i think i'm a got damn fiend
really balling in this i'm the hardest in this
give a about no bark i'm chasing dogs up in this
el segundo felt like colosseum
p said i could do it too and boy did i believe him
i built a path to freedom cause them words that he said
give a about traditions stop impressing the dead
i'm gon make it promise i'm gon make it out
mama i'm gon make it out i'm gon make it out
i ain't never had a doubt inside me
and if i ever told you that i did i'm lying
can you feel the light inside?
can you feel that fire? (can you feel it? can you feel it? Oh)
oh, fire (can you feel it? can you feel it? ooh, oh) fire
can you feel the light (inside) inside?
can you feel that fire? (can you feel it?)
oh, fire (fire), fire (ooh)
Chromakopia (yeah, yeah)
Chromakopia (whoo)
Chromakopia (yeah, yeah)
Chromakopia
okay, i am just a box with the light of thunder in me
gratitude sit under the hubris that's on my sleeve
mama said i'm hmmm mm special i was hmm mm
blowing up at home back in chromakopia hmmm hmmm
i don't (I don't), like the (like the), way that this is looking (no)
mirror got me (got me), thinking about my bookend (I'm done)
i just need this time to myself to figure me out out
do i keep the light on or do i gracefully bow out?
you see me, bro
don't you ever stop bein' who you are (oh, oh, oh, oh)
And dimmin' your light for none of these out here
can you feel the light inside?
can you feel that fire? (Oh, oh, oh, oh)
fire (oh, oh, oh, oh)
fire
can you feel the light inside?
can you feel that fire? (Oh, oh, oh, oh)","audio/01. Tyler, The Creator - St. Chroma.flac"
5,VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay tique
Quiere que yo se la aplique
Que pa casa la trafique
Vo'a llevarte pa PR
Mami, pa que veas cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo a janguear
Que rico la vamo a pasar
Aquí nadie se va a casar
Pero tú te vas a querer quedar (hey, hey)
Aprovecha que estoy soltero, ay, single
Mírame mal si quieres que te singue
Te vo'a llevar pa PR to el finde
Después de mí, vas a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto
Hey, hey, hey
Hoy la calle está prendí'a, hookah, pastilla molí'a
Yo no pierdo tiempo, yo las cambio como Rosalía
La que me mira a los ojos por cinco segundos, ya yo sé que es mía
¿Dónde están las mala' que son bienvenía'?
Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to el corillo están bien rica'
Pero ese culo tuyo, guau, sobresalía
Salimos de la disco y estaba de día
Obviamente, salí con la que quería
Hey, que viva la putería
Dale p'atrá, p'atrá, tantán, chulería
Hey
Dime si te vas a montar
Pa la isla tengo el portal
Bien borracho' los tres
Baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar
Ja, yo que la puse mal
Tírate fotitos ahora
Porque ahorita te vo'a despeinar
Yeh-eh-eh-eh-eh
Vo'a llevarte pa PR
Mami, pa que veas cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo a janguear
Que rico la vamo a pasar
Aquí nadie se va a casar
Pero tú te vas a querer quedar
Yeh, yeh, sí, sí
Esto es PR, mami
Aquí nací yo
Y el reguetón, pa que sepa' (hey, hey, hey)
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa las gata', nos fuimo al garete
Tas escuchando el que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue-",audio/02. Bad Bunny - VOY A LLeVARTE PA PR.flac
6,50mm,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Enfócame bien
Usa el cincuenta pa' capturar cómo me ves
Que el fondo pierda todo detalle, déjame ser
Un estelar en tu cabeza, quiero poder
Manifestarme cerca de ti, estés donde estés
Junto a mi cama
Tengo una foto que tomé con Leica M6
Yo no sabía que no habría otra después
Y la revelé
Se ha vuelto difícil verla conmigo al amanecer
Te recuerdo siempre
Y me entra la duda si tú me extrañas como yo te extraño
O si el cuerpo tuyo sigue pidiendo a gritos por mis manos
Piel adormecida que quiere despertar
Quiero revivirla, pero me faltas tú
Aún faltas tú-uh-uh-uh-uh
Aún me faltas tú-uh-uh-uh-uh
Ah-ah-ah-ah-ah-ah-ah-ah-ah
Aún me faltas tú
Hay luces tan azules
Tu perfume me seduce
Me recuerda a ese verano del 22 en las nubes
Cuando vivía feliz así
Con los ojos casi cerrados yo te besaba
Entreabiertos para no perderme nada
Qué ironía que hoy me falte tu mirada
Solo queda imaginarme tu llegada
Y enfocarte bien
Uso el cincuenta pa' retratar lo bien que te ves
Quizás esta vez podamos volvernos a conocer
Volvernos a ver, bailar otra vez
Juntos en la isla, lleva tu Leica
Enfócame bien
Usa el cincuenta pa' capturar cómo me ves
Que el fondo pierda todo detalle, déjame ser
Un estelar en tu cabeza, quiero poder
Manifestarme cerca de ti, estés donde estés
Enfócame bien
Enfócame bien
Enfócame bien
Enfócame, enfócame bien, mmm
Enfócame bien, ven, enfócame
Ah-ah-ah-ah-ah-ah
Enfócame, enfoca
Enfoca y desenfoca
Oh-oh-oh-oh-oh
Quiero ver lo bien que me ves",audio/02. HUMBE - 50mm.flac
7,DNA.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"I got, I got, I got, I got
Loyalty, got royalty inside my DNA
Quarter piece, got war, and peace inside my DNA
I got power, poison, pain, and joy inside my DNA
I got hustle, though, ambition flow inside my DNA
I was born like this
Since one like this, immaculate conception
I transform like this, perform like this
Was Yeshua new weapon
I don't contemplate, I meditate
Then off your-, off your head
This that put-the-kids-to-bed
This that I got, I got, I got, I got
Realness, I just kill sh- 'cause it's in my DNA
I got millions, I got riches buildin' in my DNA
I got dark, I got evil that rot inside my DNA
I got off, I got troublesome heart inside my DNA
I just win again, then, win again like Wimbledon I serve
Yeah, that's him again, the sound that engine in is like a bird
You see fireworks and Corvette tire skrrt the boulevard
I know how you work, I know just who you are
See, you's a, you's a, you's a
B-, your hormones prolly switch inside your DNA
Problem is, all that sucker shit inside your DNA
Daddy prolly snitched, heritage inside your DNA
Backbone don't exist, born outside a jellyfish, I gauge
See, my pedigree most definitely don't tolerate the front
Sh- I've been through prolly offend you
This is Paula's oldest son
I know murder, conviction, burners, boosters
Burglars, ballers, dead, redemption
Scholars, fathers dead with kids, and
I wish I was fed forgiveness
Yeah, yeah, yeah, yeah, soldier's DNA (I'ma soldier DNA)
Born inside the beast
My expertise checked out in second grade
When I was nine, on cell, motel
We didn't have nowhere to stay
At 29, I've done so well, hit cartwheel in my estate
And I'm gon' shine like I'm supposed to antisocial, extrovert
And excellent mean the extra work
And absentness what the fuck you heard
And pessimists never struck my nerve
And Nazareth gonna plead this case
The reason my power's here on earth
Salute the truth, when the prophet say
I-I got loyalty, got royalty inside my DNA (this is why I say that hip hop)
(Has done more damage to young African Americans) (I got loyalty, got royalty inside my DNA)
I live a better life, I'm rollin' several dice, f- your life
(Than racism in recent years) (I got loyalty, got royalty inside my DNA)
(I live a be-, - your life)
This is my heritage, all I'm inheritin' (five, four, three, two, one)
Money and power, the Mecca of marriages
Tell me somethin' (give me some ganja)
You motherfuckers can't tell me nothin'
I'd rather die than to listen to you
My DNA not for imitation, your DNA, an abomination
This how it is when you're in the Matrix
Dodgin' bullets, reapin' what you sow
And stackin' up the footage, livin' on the go, and sleepin' in a villa
Sippin' from a Grammy and walkin' in the buildin'
Diamond in the ceilin', marble on the floors
Beach inside the window, peekin' out the window
Baby in the pool, godfather goals
Only Lord knows I've been goin' hammer
Dodgin' paparazzi, freakin' through the cameras
Eat at Four Daughters, Brock wearin' sandals
Yoga on a Monday, stretchin' to Nirvana
Watchin' all the snakes, curvin' all the fakes
Phone never on, I don't conversate
I don't compromise, I just penetrate
Sex, money, murder, these are the breaks
These are the times, level number nine
Look up in the sky, .10 is on the way
Sentence on the way, killings on the way
Motherf-ker, I got winners on the way
You ain't sh- without a body on your belt
You ain't sh- without a ticket on your plate
You ain't sick enough to pull it on yourself
You ain't rich enough to hit the lot and skate
Tell me when destruction gonna be my fate
Gonna be your fate, gonna be our faith?
Peace to the world, let it rotate
Sex, money, murder, our DNA",audio/02. Kendrick Lamar - DNA..flac
8,Rah Tah Tah,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"She ain't never met no one who talk like that
And if you hang up on a nigga, bitch, I'll call right back (yeah, uh)
Roll my windows up, darlin', roll them windows up
Biscuit-ass niggas wonder how I got my jiffy up
Crib so damn big, I need a diaper and a sippy cup (wah)
Someone tell Zendaya, she my favorite, can she hit me up?
Ha-ha-ha-ha, when I double-park the LaF'
That rah-tah-tah-tah, bitch, I'm steppin' on the gas (vroom)
She ain't never met no one who talk like that (I don't really know)
And if you hang up on a nigga, bitch, I'll call right back, yeah (yeah, uh)
Wipe that silly grin (mm), bitch, I'm really him (mm)
You better put them palms together, bitch, I really sin (mm)
No, me and crack don't share daddies, but we really twins (okay)
If she ain't got her shit together, she ain't gettin' in (okay)
You see the bed top bunker, the boy got thumpers
I'm a bonafide face seat, box muncher
She ain't never met no one who talk like that (I want that pussy)
And if you hang up on a nigga, bitch, I'll call right back (mwah, yeah)
Never in the Hamptons dick-ridin' in the white fit (nah)
Never raise a hand, the strap on 'em like a dyke bitch
This dark work like night shift, I'm thunder, I light shit (pew)
I flood this, I flood that
I swim good, I'm Pisces (I'm a fish)
Hey, T, why you actin' hard? I'm like, ""Baby, please
I ain't tough, I just thumbs up like I'm scrollin' feed""
She ain't never met no one who talk like that (nigga, I'm pussy)
And if you hang up on a nigga, bitch, I'll call right back (yeah)
Roll my windows up, darlin', roll them windows up
Never let them see the color, model, make of semi truck (don't tell them a thing)
Fuck it, fuck your shimmy up, yeah, fuck your shimmy up
Celebrate, it's your birthday, get your pennies up (uh)
Bitch, you bossin' up, nah, we really bossin' up
I could never ride no Hellcat, shit don't cost enough
Twenty thousand on me (vroom), hunnid thousand on me (uh)
Fifty thousand on me (mm-hmm), a couple thousand on me (yeah)
You movin' sloppy if you get that sloppy where you sleep at
Never tell them niggas or those women where you breathe at (never)
If my ex is spillin' tea about me, don't you drink that
And don't you call me brother, I just met you, you can keep that
With these type of views, it ain't no service on my two-way
So you don't have to call, I'm Usher Raymond on a Tuesday
With twenty thousand on me (mm), hunnid thousand on me (uh)
Fifty thousand on me (mm-hmm), a couple thousand on me
Brodie said his job to- for me, he the cameraman
They hoes went to Leuzinger, I skated to Hamilton
I had that S dome, was gettin' pressed and almost packed out (where you from, man?)
Me and Lionel Boyce in drama class, my boy can act now (mm)
Was really Odd Future, all them other niggas whacked out
The biggest out the city after Kenny, that's a fact now
She ain't never met no one who talk like that (bitch)
And if you hang up on a nigga, bitch, I'll call right back (yeah)
Them niggas used to press me on a carrot-colored bus
(I'm not with that shit, cuh, aight?)
That's why I'm paranoid now 'cause niggas weird and really bums
I'm paranoid now 'cause niggas weird and really bums (uh, uh, uh)
I'm paranoid now 'cause niggas weird and really bums
I'm paranoid now 'cause niggas weird and really bums, I'm-","audio/02. Tyler, The Creator - Rah Tah Tah.flac"
9,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y solamente verte en el atardecer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
Y fuiste tú mi baile inolvidable
Eh
Eh
Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y ver pa'l cielo a ver si te veo caer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
Yeah-yeah-yeah-yeah, ey
Dime cómo le hago pa' olvidarte
Hay un paso nuevo que quiero enseñarte
En las noche' ya ni puedo dormir
Lo que hago es soñarte
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
Cómo tú me besabas, cómo yo te lo hacía
Cómo tú me mirabas, bellaquito me ponía
Se siente feo no tenerte cerquita
La nueva mama bien, pero no es tu boquita
Mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, ey
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
Ay, yo con cualquiera me puedo acostar
Pero no con cualquiera quiero despertar
Sólo con usted, con usted
Yo bailo con usted, na' más con usted
Un beso donde estés, donde estés, bebé
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
Y yo he tenío' muchas novia'
Pero como tú, ninguna
Ya no tengo mi sol, me paso en la luna
Si te pienso, me tiro de una
Eh, mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, eh",audio/03. Bad Bunny - BAILE INoLVIDABLE.flac
10,HERA,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Mmm, mmm
Mmm, mmm
Mmm-mmm-mmm-mmm
Mmm-mmm-mmm-mmm
Mmm-mmm-mmm-mmm
Tengo que buscarme ambiciones más grandes
Tanto tiempo de guardarme
Vivo en sombras viendo lo que haces
Dejando paciencia de sobra para volver
Hay cosas que hacer, tengo que reaparecer
Debo abrir mi mente y no perder jeta antes de tiempo
Me tengo miedo
Es que este lado mío no sé, yo no lo recuerdo
Mi maldición
Mi bendición
Sueño y no estoy durmiendo
Precavido y atento
Que yo te cuido y te tengo
En la mira
Listo para disparar
A quien se te quiera cruzar
Entiende no voy a jugar con mi paz
Que no se te olvide otra vez o en tu piel va a quedar
Every time you fall apart
I'm gonna save
All the pieces coming down my way
Even when my hands can't hold the weight
Every time you fall apart
I'm gonna save
All the pieces coming down my way
Even when my hands can't hold the weight
(Yo me tiré muchas relaciones por cabezona)
(Y de verdad no te lo recomiendo)
(No le permitas a tu cabeza suponer)
(Porque esas son suposiciones)
(No son realidades)",audio/03. HUMBE - HERA.flac
